位置,球员数量,平均评分,最高评分,最低评分,平均进球,平均助攻
中锋,27,7.348518518518519,8.19,7.18,14.11111111111111,4.2592592592592595
后腰,16,7.31375,7.9,7.18,2.125,3.6875
右边锋,22,7.425,7.87,7.17,9.045454545454545,6.545454545454546
左边锋,18,7.303333333333334,7.84,7.17,7.444444444444445,5.777777777777778
右后卫,6,7.366666666666667,7.8,7.18,3.0,5.0
前腰,23,7.3743478260869555,7.73,7.17,6.739130434782608,5.826086956521739
中后卫,21,7.255714285714286,7.42,7.19,1.5238095238095237,1.0952380952380953
中场,26,7.302307692307692,7.59,7.17,4.653846153846154,3.4615384615384617
门将,27,7.257407407407408,7.44,7.17,0.0,0.18518518518518517
左后卫,10,7.2620000000000005,7.34,7.2,2.5,4.0
影子前锋,2,7.3100000000000005,7.33,7.29,9.5,4.0
