球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
布拉西尔,雷恩,25,中后卫,10,876,1,0,0,0,86.7,1,2.5,7.42
乌帕梅卡诺,拜仁慕尼黑,26,中后卫,20,1763,2,0,6,0,94.2,1,3.1,7.38
塔科夫斯基,埃弗顿,32,中后卫,33,2924,1,1,6,0,81.6,5,2.9,7.3
奥马尔·索莱,乌迪内斯,25,中后卫,14,1224,1,1,1,1,90.2,1,1.2,7.29
伊尼戈·马丁内斯,巴塞罗那,33,中后卫,26,2313,0,4,4,0,91.3,4,2.2,7.29
尤巴尔,欧塞尔,31,中后卫,27,2379,6,0,6,0,86.4,2,2.5,7.28
马尔基尼奥斯,巴黎圣日耳曼,30,中后卫,"17
(3)",1582,1,0,3,0,94.8,2,1.5,7.28
奥尔班,莱比锡红牛,32,中后卫,25,2224,5,0,4,2,87.9,1,4.2,7.27
范迪克,利物浦,33,中后卫,33,2970,2,1,3,0,91.7,2,3.0,7.25
加布里埃尔,阿森纳,27,中后卫,28,2366,3,1,4,0,90.7,2,2.0,7.25
迪恩·豪森,伯恩茅斯,20,中后卫,"22
(5)",2049,2,1,7,0,85.1,3,2.2,7.24
拉赫马尼,那不勒斯,31,中后卫,33,2957,1,2,2,0,91.4,1,3.3,7.24
凯文·丹索,朗斯,26,中后卫,12,1080,0,0,3,0,86.1,1,3.4,7.23
巴斯托尼,国际米兰,26,中后卫,"29
(2)",2253,1,4,4,1,91.0,6,1.4,7.22
米利唐,皇家马德里,27,中后卫,"11
(1)",939,1,1,2,0,89.8,1,1.8,7.22
艾曼纽尔·阿格巴杜,兰斯,27,中后卫,14,1260,0,0,3,0,88.2,1,1.3,7.21
內森·科林斯,布伦特福德,23,中后卫,33,2970,2,2,5,0,86.1,3,3.1,7.21
皮耶罗·因卡皮耶,勒沃库森,23,中后卫,"25
(3)",2385,2,2,7,0,89.6,4,2.1,7.21
迪奥戈·雷特,柏林联盟,26,中后卫,"28
(1)",2483,1,2,3,0,79.4,2,2.6,7.2
阿格尔德,皇家社会,29,中后卫,20,1674,0,0,5,0,87.9,1,3.1,7.19
阿切尔比,国际米兰,37,中后卫,18,1482,0,1,0,0,93.0,1,2.8,7.19
