球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
佩德里,巴塞罗那,22,中场,"30
(2)",2544,4,4,2,0,88.6,12,0.2,7.59
巴尔韦德,皇家马德里,26,中场,"29
(2)",2586,6,4,3,0,90.6,6,0.8,7.49
维蒂尼亚,巴黎圣日耳曼,25,中场,"18
(9)",1854,5,1,1,0,94.2,3,0.0,7.45
安德烈·桑托斯,斯特拉斯堡,20,中场,28,2497,9,3,7,0,87.8,6,1.1,7.4
洛·塞尔索,皇家贝蒂斯,29,中场,"12
(8)",1172,7,2,4,0,83.4,7,0.3,7.4
蒂莱曼斯,阿斯顿维拉,27,中场,34,2922,2,7,4,0,86.1,14,0.6,7.39
托利索,里昂,30,中场,"25
(4)",2167,6,4,4,0,85.8,6,1.8,7.34
德克兰·赖斯,阿森纳,26,中场,"30
(2)",2579,2,7,5,1,90.0,16,1.0,7.33
阿米里,美因茨,28,中场,26,2125,6,4,5,2,82.1,12,0.7,7.33
恩佐·费尔南德斯,切尔西,24,中场,"27
(4)",2501,5,6,7,0,84.1,9,0.4,7.32
拉比奥,马赛,30,中场,"23
(2)",2123,7,2,4,0,87.7,4,1.0,7.32
莫德里奇,皇家马德里,39,中场,"14
(16)",1491,2,4,7,0,91.2,14,0.2,7.31
科瓦契奇,曼城,30,中场,"22
(6)",1963,6,1,5,0,92.6,6,0.4,7.29
拉明·卡马拉,摩纳哥,21,中场,"22
(4)",1853,2,6,7,1,86.8,8,0.9,7.28
汤姆·比绍夫,霍芬海姆,19,中场,"27
(1)",2324,5,2,5,0,83.6,5,0.4,7.28
贾维·西塞,雷恩,21,中场,10,813,1,0,4,0,88.4,0,0.4,7.26
赖恩德斯,AC米兰,26,中场,"31
(1)",2682,10,3,2,1,89.1,6,0.2,7.25
法比安·鲁伊斯,巴黎圣日耳曼,29,中场,"19
(8)",1756,3,4,0,0,91.6,8,0.1,7.25
麦卡利斯特,利物浦,26,中场,"29
(3)",2481,4,4,6,0,87.2,5,0.6,7.22
巴雷拉,国际米兰,28,中场,"27
(2)",2182,3,6,4,0,85.1,5,0.8,7.22
阿诺尔德,沃尔夫斯堡,30,中场,"25
(1)",2242,3,5,7,0,84.0,6,0.5,7.21
亚历克斯·加西亚,勒沃库森,27,中场,"15
(9)",1288,3,3,2,0,91.3,9,0.1,7.2
埃德森,亚特兰大,25,中场,"29
(3)",2582,4,1,3,1,87.7,7,1.3,7.19
麦克托米奈,那不勒斯,28,中场,"28
(1)",2491,9,2,3,0,85.3,2,1.9,7.19
索博斯洛伊,利物浦,24,中场,"25
(6)",2193,5,3,6,0,85.9,10,0.6,7.18
希赫姆·布达维,尼斯,25,中场,"23
(2)",2092,2,2,9,0,84.3,4,0.6,7.17
