球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
弗洛里安·维尔茨,勒沃库森,21,前腰,"21
      
        (6)",2002,9,10,2,0,82.7,15,0.2,7.73
科尔·帕尔默,切尔西,22,前腰,"31
(1)",2750,14,8,6,0,83.4,15,0.0,7.66
瑞安·切尔基,里昂,21,前腰,"19
(7)",1756,8,9,3,0,84.9,19,0.1,7.63
哈维·西蒙斯,莱比锡红牛,22,前腰,21,1811,9,4,5,0,83.8,9,0.7,7.59
伊斯科,皇家贝蒂斯,33,前腰,"14
(2)",1209,7,5,5,0,86.8,6,0.8,7.58
布鲁诺·费尔南德斯,曼联,30,前腰,"31
(1)",2673,8,9,2,2,80.5,15,0.6,7.58
穆夏拉,拜仁慕尼黑,22,前腰,"21
(4)",1806,12,2,3,0,83.6,8,0.3,7.57
贝林厄姆,皇家马德里,21,前腰,"25
(2)",2136,8,7,3,1,87.6,4,0.8,7.46
德布劳内,曼城,33,前腰,"16
(8)",1457,3,7,2,0,82.4,14,0.2,7.41
奥尔默,巴塞罗那,26,前腰,"11
(9)",1000,9,2,0,0,82.3,7,0.5,7.38
詹姆斯·麦迪逊,热刺,28,前腰,"20
(10)",1772,9,6,6,0,86.6,7,0.2,7.31
萨瓦尼耶,蒙彼利埃,33,前腰,"26
(1)",2276,2,5,4,1,76.7,15,0.8,7.3
哈拉尔森,里尔,22,前腰,"17
(4)",1466,4,2,3,0,82.7,6,0.1,7.29
厄德高,阿森纳,26,前腰,"23
(3)",2047,2,6,4,0,87.2,11,0.3,7.29
尼科·帕兹,科莫,20,前腰,"25
(5)",2254,6,6,5,0,83.7,6,0.8,7.25
摩根·怀特,诺丁汉森林,25,前腰,29,2396,5,7,7,1,80.9,8,1.3,7.23
达姆斯高,布伦特福德,24,前腰,"29
(4)",2510,2,9,2,0,78.1,10,0.3,7.21
贾斯汀·克鲁伊维特,伯恩茅斯,25,前腰,"25
(4)",2041,12,6,7,0,80.1,6,0.2,7.21
李在城,美因茨,32,前腰,"27
(2)",2347,7,5,4,0,80.1,7,1.5,7.21
施密德,云达不莱梅,25,前腰,28,2502,4,4,3,0,78.7,4,0.6,7.19
麦克尼尔,埃弗顿,25,前腰,"13
(3)",1157,3,4,1,0,81.3,8,0.2,7.19
保罗·内贝尔,美因茨,22,前腰,"22
(5)",1992,8,3,3,1,78.4,5,0.5,7.17
埃贝雷·埃泽,水晶宫,26,前腰,"28
(2)",2352,4,8,1,0,82.7,9,0.2,7.17
