球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
萨拉赫,利物浦,32,右边锋,33,2930,27,18,1,0,74.4,22,0.3,7.87
奥利塞,拜仁慕尼黑,23,右边锋,"24
      
        (6)",1987,8,11,2,0,86.7,22,0.3,7.84
登贝莱,巴黎圣日耳曼,27,右边锋,"18
      
        (9)",1594,21,6,1,0,83.1,12,0.1,7.81
亚马尔,巴塞罗那,17,右边锋,"27
      
        (3)",2451,6,12,3,0,78.3,25,0.0,7.75
布卡约·萨卡,阿森纳,23,右边锋,"17
(4)",1459,6,10,3,0,84.4,21,0.4,7.68
姆贝乌莫,布伦特福德,25,右边锋,33,2967,18,6,2,0,75.3,17,0.9,7.51
梅森·格林伍德,马赛,23,右边锋,"28
(2)",2466,18,3,2,0,83.6,8,0.2,7.49
李刚仁,巴黎圣日耳曼,24,右边锋,"17
(11)",1531,6,6,1,0,92.0,11,0.1,7.44
安东尼,皇家贝蒂斯,25,右边锋,11,927,3,2,1,1,83.4,7,0.3,7.4
罗德里戈,皇家马德里,24,右边锋,"22
(8)",1937,6,5,0,0,90.9,5,0.2,7.39
阿马德·迪亚洛,曼联,22,右边锋,"17
(5)",1594,6,6,3,0,85.2,4,0.4,7.39
奥诺拉,门兴,28,右边锋,15,1196,2,5,0,0,74.7,9,0.3,7.37
巴夸,斯特拉斯堡,22,右边锋,"25
(1)",2181,4,8,4,0,80.6,12,0.4,7.35
菲尔·福登,曼城,24,右边锋,"19
(6)",1690,7,2,2,0,88.2,8,0.1,7.3
马格纳斯·阿克利乌舍,摩纳哥,23,右边锋,"24
(4)",2139,4,8,2,0,85.0,13,0.1,7.29
盖坦·佩林,欧塞尔,28,右边锋,"27
(3)",2354,8,8,1,0,78.2,13,0.1,7.25
普利西奇,AC米兰,26,右边锋,"24
(5)",2059,9,8,1,0,82.9,8,0.3,7.24
萨勒马科尔斯,罗马,25,右边锋,"15
(4)",1221,6,3,4,0,85.5,4,0.4,7.22
奥尔索利尼,博洛尼亚,28,右边锋,"19
(6)",1525,12,3,1,0,72.2,8,0.9,7.2
弗洛里安·托万,乌迪内斯,32,右边锋,"24
(1)",1972,8,3,0,0,78.5,8,0.2,7.2
布拉斯,雷恩,27,右边锋,"23
(2)",2006,6,7,6,0,81.7,7,0.5,7.19
塞梅尼奥,伯恩茅斯,25,右边锋,32,2830,8,4,9,0,77.8,10,1.7,7.17
