球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
基米希,拜仁慕尼黑,30,后腰,"28
      
        (1)",2487,2,6,4,0,93.0,18,0.3,7.9
若昂·内维斯,巴黎圣日耳曼,20,后腰,"19
(7)",1667,3,8,0,0,92.1,8,0.7,7.45
扎卡,勒沃库森,32,后腰,30,2634,2,7,3,0,91.1,6,1.2,7.44
恰尔汗奥卢,国际米兰,31,后腰,"23
(2)",1696,5,4,3,0,90.4,9,0.6,7.42
霍伊别尔,马赛,29,后腰,26,2306,2,3,5,0,92.5,3,0.8,7.38
安杰洛·施蒂勒,斯图加特,24,后腰,"28
(1)",2547,1,8,5,0,89.7,13,0.7,7.38
本纳塞尔,马赛,27,后腰,"6
(3)",517,0,2,1,0,93.5,3,0.2,7.26
本杰明·安德烈,里尔,34,后腰,27,2423,0,3,10,0,83.7,5,3.2,7.22
莫伊塞斯·凯塞多,切尔西,23,后腰,33,2906,1,2,10,0,90.5,4,0.9,7.21
扎卡里亚,摩纳哥,28,后腰,"21
(1)",1874,5,3,5,0,91.3,2,0.6,7.2
布鲁诺·吉马良斯,纽卡斯尔,27,后腰,33,2837,4,6,6,0,82.9,11,0.4,7.2
洛卡特利,尤文图斯,27,后腰,"29
(2)",2396,1,2,7,0,89.1,1,1.0,7.2
帕雷德斯,罗马,30,后腰,"13
(7)",1204,1,1,4,0,91.4,3,0.4,7.2
皮埃尔·里斯-梅洛,布雷斯特,31,后腰,"14
(3)",1267,2,2,4,0,85.4,3,0.2,7.19
托马斯,阿森纳,31,后腰,"27
(4)",2439,4,2,4,0,89.3,3,0.9,7.19
卡塞米罗,曼联,33,后腰,"15
(6)",1274,1,0,3,0,80.6,3,1.4,7.18
