球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
拉菲尼亚,巴塞罗那,28,左边锋,"28
      
        (3)",2466,15,9,4,0,78.5,20,0.3,7.84
扎卡尼,拉齐奥,29,左边锋,"29
(1)",2399,8,6,9,0,84.8,6,0.6,7.38
维尼修斯,皇家马德里,24,左边锋,"22
(5)",2046,11,5,8,1,79.2,12,0.0,7.37
德西雷·杜尔,巴黎圣日耳曼,19,左边锋,"16
(11)",1537,6,6,1,0,85.7,17,0.2,7.36
孙兴慜,热刺,32,左边锋,"23
(5)",2010,7,9,1,0,84.6,15,0.2,7.34
格里福,弗赖堡,32,左边锋,"27
(3)",2128,8,10,2,0,82.1,15,0.5,7.33
巴尔科拉,巴黎圣日耳曼,22,左边锋,"24
(6)",1945,13,10,2,0,83.5,17,0.4,7.31
路易斯·迪亚兹,利物浦,28,左边锋,"25
(7)",2161,11,5,2,0,86.2,8,0.4,7.29
伊沃比,富勒姆,28,左边锋,"31
(2)",2652,9,5,1,0,79.6,12,0.2,7.29
克瓦拉茨克赫利亚,巴黎圣日耳曼,24,左边锋,"9
(3)",740,2,3,0,0,88.6,5,0.3,7.28
克瓦拉茨克赫利亚,那不勒斯,24,左边锋,"15
(2)",1191,5,3,1,0,82.6,5,0.3,7.26
杰里米·多库,曼城,22,左边锋,"14
(11)",1304,3,5,1,0,84.1,6,0.0,7.25
亚历克斯·巴埃纳,比利亚雷亚尔,23,左边锋,"27
(1)",2350,6,7,8,0,74.1,16,0.5,7.24
凯南·伊尔迪兹,尤文图斯,19,左边锋,"25
(7)",2186,6,2,2,0,86.5,6,0.2,7.2
拉斐尔·莱奥,AC米兰,25,左边锋,"24
(7)",2172,7,8,4,0,76.8,8,0.7,7.19
哈德森-奥多伊,诺丁汉森林,24,左边锋,"24
(4)",2120,5,2,2,0,88.5,3,0.1,7.18
路易斯·恩里克,马赛,23,左边锋,"27
(3)",2413,7,5,0,0,84.8,9,0.0,7.18
金斯利·科曼,拜仁慕尼黑,28,左边锋,"12
(12)",1110,5,4,0,0,89.7,6,0.3,7.17
