球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
乔尔杰·彼得罗维奇,斯特拉斯堡,25,门将,27,2430,0,0,2,0,78.5,0,0.2,7.44
弗莱肯,布伦特福德,31,门将,32,2826,0,1,1,0,71.8,1,0.1,7.44
芬恩·达门,奥格斯堡,27,门将,15,1350,0,0,0,0,66.0,0,0.3,7.41
米林科维奇·萨维奇,都灵,28,门将,32,2880,0,0,2,0,63.4,0,0.3,7.38
尼古拉斯,门兴,27,门将,19,1640,0,0,0,0,83.1,0,0.3,7.37
迪乌夫,兰斯,25,门将,30,2700,0,0,1,0,65.6,0,0.3,7.36
叶海亚·福法纳,昂热,24,门将,30,2700,0,0,4,0,64.1,0,0.3,7.32
马修·瑞安,朗斯,33,门将,10,900,0,0,0,0,65.4,0,0.4,7.29
考阿·桑托斯,法兰克福,22,门将,"8
(1)",764,0,0,0,0,66.3,0,0.7,7.27
菲利普·斯坦科维奇,威尼斯,23,门将,16,1368,0,0,1,0,69.7,0,0.3,7.26
塞尔吉奥·埃雷拉,奥萨苏纳,31,门将,31,2790,0,0,5,0,66.0,0,0.2,7.24
多诺万·莱昂,欧塞尔,32,门将,28,2520,0,2,3,0,51.1,2,0.3,7.23
古拉奇,莱比锡红牛,34,门将,28,2453,0,0,0,0,79.7,0,0.3,7.22
德赫亚,佛罗伦萨,34,门将,30,2700,0,1,1,0,70.0,1,0.2,7.22
布莱斯·桑巴,朗斯,30,门将,15,1350,0,0,1,0,78.9,0,0.0,7.21
岑特纳,美因茨,30,门将,30,2700,0,0,3,0,59.4,1,0.3,7.21
维卡里奥,热刺,28,门将,21,1890,0,0,1,0,87.9,0,0.4,7.2
皮克福德,埃弗顿,31,门将,33,2970,0,1,7,0,62.0,1,0.2,7.2
布莱斯·桑巴,雷恩,30,门将,13,1170,0,0,3,0,74.0,0,0.4,7.2
诺阿·阿图博卢,弗赖堡,22,门将,24,2128,0,0,2,0,72.6,0,0.3,7.2
斯维拉尔,罗马,25,门将,33,2970,0,0,1,0,77.5,0,0.1,7.19
卡普里勒,卡利亚里,23,门将,14,1260,0,0,0,0,64.1,0,0.3,7.19
布尔卡,尼斯,25,门将,30,2700,0,0,0,0,77.8,0,0.3,7.19
拉姆斯代尔,南安普顿,26,门将,25,2250,0,0,2,0,61.6,0,0.2,7.18
乔安·加西亚,西班牙人,23,门将,33,2970,0,0,2,0,64.6,0,0.6,7.18
安德烈·拉杜,威尼斯,27,门将,10,900,0,0,1,0,49.4,0,0.2,7.18
卢卡斯·佩里,里昂,27,门将,29,2610,0,0,1,0,72.9,0,0.4,7.17
