球员,俱乐部,年龄,位置,出场,上场时间,进球,助攻,黄牌,红牌,传球成功率,创造机会,争顶成功,评分
马尔穆什,法兰克福,26,中锋,17,1455,15,9,2,0,79.9,10,0.4,8.19
基米希,拜仁慕尼黑,30,后腰,"28
      
        (1)",2487,2,6,4,0,93,18,0.3,7.9
萨拉赫,利物浦,32,右边锋,33,2930,27,18,1,0,74.4,22,0.3,7.87
拉菲尼亚,巴塞罗那,28,左边锋,"28
      
        (3)",2466,15,9,4,0,78.5,20,0.3,7.84
奥利塞,拜仁慕尼黑,23,右边锋,"24
      
        (6)",1987,8,11,2,0,86.7,22,0.3,7.84
登贝莱,巴黎圣日耳曼,27,右边锋,"18
      
        (9)",1594,21,6,1,0,83.1,12,0.1,7.81
阿什拉夫,巴黎圣日耳曼,26,右后卫,"22
      
        (1)",1889,4,6,4,0,90.9,11,0.3,7.8
亚马尔,巴塞罗那,17,右边锋,"27
      
        (3)",2451,6,12,3,0,78.3,25,0,7.75
哈里·凯恩,拜仁慕尼黑,31,中锋,"26
      
        (2)",2184,24,8,4,0,80.7,12,0.9,7.74
弗洛里安·维尔茨,勒沃库森,21,前腰,"21
      
        (6)",2002,9,10,2,0,82.7,15,0.2,7.73
尤巴尔,欧塞尔,31,中后卫,27,2379,6,0,6,0,86.4,2,2.5,7.28
拉明·卡马拉,摩纳哥,21,中场,"22
(4)",1853,2,6,7,1,86.8,8,0.9,7.28
莱万多夫斯基,巴塞罗那,36,中锋,"29
(2)",2454,25,2,1,0,74.1,3,1,7.28
埃文·盖桑,尼斯,23,中锋,"28
(2)",2432,11,7,2,0,77.7,9,0.8,7.28
克瓦拉茨克赫利亚,巴黎圣日耳曼,24,左边锋,"9
(3)",740,2,3,0,0,88.6,5,0.3,7.28
马尔基尼奥斯,巴黎圣日耳曼,30,中后卫,"17
(3)",1582,1,0,3,0,94.8,2,1.5,7.28
汤姆·比绍夫,霍芬海姆,19,中场,"27
(1)",2324,5,2,5,0,83.6,5,0.4,7.28
奥尔班,莱比锡红牛,32,中后卫,25,2224,5,0,4,2,87.9,1,4.2,7.27
考阿·桑托斯,法兰克福,22,门将,"8
(1)",764,0,0,0,0,66.3,0,0.7,7.27
菲利普·斯坦科维奇,威尼斯,23,门将,16,1368,0,0,1,0,69.7,0,0.3,7.26
弗兰科瓦斯基,朗斯,30,右后卫,"16
(2)",1389,4,2,3,0,83.5,7,0.4,7.26
贾维·西塞,雷恩,21,中场,10,813,1,0,4,0,88.4,0,0.4,7.26
克瓦拉茨克赫利亚,那不勒斯,24,左边锋,"15
(2)",1191,5,3,1,0,82.6,5,0.3,7.26
本纳塞尔,马赛,27,后腰,"6
(3)",517,0,2,1,0,93.5,3,0.2,7.26
